permit_number,permit_type,description,neighborhood
COM2020-52964,1-05,"INSTALL (1)  # FIXTURES/DEVICES, (1) 24000 BTU AIR-CON SYSTEM, HEAT PUMP, (1) 80000 BTU FUEL-BURNING EQUIP(FURNACE) AS PER CODE.",Hamilton Hills
COM2022-77010,1-08,"EXTERIOR ALTERATIONS: REPLACEMENT OF EXTERIOR DOORS AND EXTERIOR WINDOWS (DOORS AND WINDOWS IN THE SAME SIZE AND LOCATION). NEW P.T. WOOD FENCE ALONG REAR YARD PROPERTY LINE, AT 6'-0'' MAX HEIGHT, APPROXIMATELY 80’-0” IN TOTAL LENGTH, ALONG INSIDE EDGE OF PROPERTY LINE, 4X4 POSTS, 8 FEET APART ON MINIMUM OF 12'' DEEP FOOTERS (ALL FENCING AND FOOTER WORK WILL BE DONE WITHIN PRIVATE PROPERTY LINES). NEW 4'' GRAY VINYL SIDING IN REAR BAY. AS PER PLANS. INTERIOR ALTERATIONS: INTERIOR DEMO CATEGORY II: REMOVAL OF EXISTING PLASTER, DRYWALL, WINDOWS, DOORS, NON-BEARING WALLS, ROOFING, FLOORING MATERIALS, AND REMOVAL OF DEBRIS AND/OR EQUIPMENT. REPLACEMENT OF WOOD FRAMING AS REQUIRED, WHERE SHOWN IN FRAMING PLANS. LESS THAN 1/3 OF EXISTING FRAMING IS TO BE REPLACED. NO UNDERPINNING. NEW STAIRS FROM BASEMENT TO 1ST FLOOR AND FROM 1ST FLOOR TO 2ND FLOOR LEVELS, AT 8.25” MAX RISE AND 9” MIN TREAD DEPTH. NEW INTERIOR PARTITION WALLS, AS PER FLOOR PLANS. INSTALLATION OF NEW DRYWALL, FRAME EXTERIOR PERIMETER WALLS, FINISHED PRIME AND PAINT. NO WORK OUTSIDE OF PROPERTY LINE. ALL WORK WILL BE DONE ACCORDING TO BALTIMORE CITY CODE AND PER SUBMITTED PLANS.  (*NOTES: 1. ALL HABITABLE AREAS WILL MAINTAIN MINIMUM CEILING HEIGHT OF 7', 2. ALL HALLWAYS WILL MAINTAIN MINIMUM WIDTH OF 36'', 3. ALL BEDROOMS WILL MAINTAIN 70SQ/FT FOR ONE OCCUPANT OR 50SQ/FT PER OCCUPANT, 4. ALL BATHROOMS WILL MAINTAIN ENOUGH CLEAR FLOOR SPACE FOR CLEARANCE OF PLUMBING FIXTURES)",Upton
COM2020-00819,6-10," REMOVE (6) EXISTING ANTENNAS AND (3) EXISTING RRHS AND INSTALL (6) NEW ANTENNAS AND (6) NEW RRHS AS PER PLANS AS PER CODE. IF INSTALLING SUPPRESSION SYSTEM IN EQUIPMENT CABINET, THEN SEPARATE PERMIT IS REQUIRED.",Downtown
COM2019-60871,1-08," extend original permit.(original permit:com2019-56971:amend to change contractor and reinstate(original permit:com2018-62920:install (3) 40 cfm exhaust systems  , (2)  # new distribution system (1-2 family), (2) 70000 btu air-con system, condensor, (2) 80000 btu fuel-burning equip(furnace), (13)  # plumbing fixtures, (2)  # electric water heater, (1)  # water service pipe, new interior, (1)  # sanitary connection (reconstruction0, (1)  # water service pipe (reconstruction), (1) 80000 btu fuel-burning equip, (1) 80000 btu fuel-burning equip, (1) 30000 btu fuel-burning equip as per code.)original permit description:(com2018-62920)install (3) 40 cfm exhaust systems  , (2)  # new distribution system (1-2 family), (2) 70000 btu air-con system, condensor, (2) 80000 btu fuel-burning equip(furnace), (13)  # plumbing fixtures, (2)  # electric water heater, (1)  # water service pipe, new interior, (1)  # sanitary connection (reconstruction0, (1)  # water service pipe (reconstruction), (1) 80000 btu fuel-burning equip, (1) 80000 btu fuel-burning equip, (1) 30000 btu fuel-burning equip as per code.)original permit description:(com2019-56971)amend to change contractor and reinstate(original permit:com2018-62920:install (3) 40 cfm exhaust systems  , (2)  # new distribution system (1-2 family), (2) 70000 btu air-con system, condensor, (2) 80000 btu fuel-burning equip(furnace), (13)  # plumbing fixtures, (2)  # electric water heater, (1)  # water service pipe, new interior, (1)  # sanitary connection (reconstruction0, (1)  # water service pipe (reconstruction), (1) 80000 btu fuel-burning equip, (1) 80000 btu fuel-burning equip, (1) 30000 btu fuel-burning equip as per code.)original permit description:(com2018-62920)install (3) 40 cfm exhaust systems  , (2)  # new distribution system (1-2 family), (2) 70000 btu air-con system, condensor, (2) 80000 btu fuel-burning equip(furnace), (13)  # plumbing fixtures, (2)  # electric water heater, (1)  # water service pipe, new interior, (1)  # sanitary connection (reconstruction0, (1)  # water service pipe (reconstruction), (1) 80000 btu fuel-burning equip, (1) 80000 btu fuel-burning equip, (1) 30000 btu fuel-burning equip as per code.",Oliver
COM2024-83770,1-08,"AMEND PERMIT: CHANGE ELECTRICAL CONTRACTOR. REINSTATE ORIGINAL PERMIT.(ORIGINAL PERMIT:COM2023-61530:INSTALL (7)  # BRANCH CIRCUITS/FEEDERS , (1) 150 AMPS ELECTRIC SERVICE UP TO 600V (#AMPS) AS PER CODE.) Original Permit Description:(COM2023-61530) INSTALL (7)  # BRANCH CIRCUITS/FEEDERS , (1) 150 AMPS ELECTRIC SERVICE UP TO 600V (#AMPS) AS PER CODE.",McElderry Park
COM2019-79000,1-08,"scope of work: interior alterations (600sq/ft) to include: drywall repairs, all work will be done according to baltimore city code. ",Saint Josephs
COM2020-85356,1-08,"INSTALL (4)  # BRANCH CIRCUITS/FEEDERS , (1) 30000 BTU AIR-CON SYSTEM, HEAT PUMP, (1)  # ELECTRIC WATER HEATER AS PER CODE.",Keswick
COM2019-60552,3-42,"amend permit: add(plumbing) contractor . extend original permit.(original permit:com2018-04456:removing walls and ceilings, updating finishes,7 new doors as follows, > d:101a, d:103, d:104, d:105, d:109 are all new doors at new locations, while d:101 and d:138 are new doors at existing locations, minimal works to lights and plumbing fixtures as per plans as per code.   )original permit description:(com2018-04456)removing walls and ceilings, updating finishes,7 new doors as follows, > d:101a, d:103, d:104, d:105, d:109 are all new doors at new locations, while d:101 and d:138 are new doors at existing locations, minimal works to lights and plumbing fixtures as per plans as per code.   ",Brewers Hill
TMP2020-50131,,"temporary placement of open air tents for weather elements for outside dining which is permitted by use2017-53737.outdoor seating temporary use permit. permit allows for additional outdoor seating to promote social distancing in compliance with cdc guidelines. seating allowed as specified in the approved drawing. no live or amplified music, open flames or other heating devices in outdoor seating, or any exterior food and drink stations not currently existing under previously approved plans. permit expires june 30, 2021. ******* location:parking lot, area(ft):6000, table count:35, chair count:210 , (1)  sq ft temporary as per code and per submitted documents.",Baltimore Peninsula
COM2019-60505,1-05,install (1) 200 amps electric service up to 600v (#amps) as per code.,North Roland Park/Poplar Hill
COM2024-86594,(N/A) Vacant House/Building/Structure,"INSTALL (2) 30000 BTU AIR-CON SYSTEM, HEAT PUMP, (2) 90000 BTU FUEL-BURNING EQUIP(FURNACE), (2) 90000 BTU FUEL-BURNING EQUIP, (2)  # GAS TEST (REPLACE (2) 90,000BTU GAS FURNACES (1) ON 1ST FLOOR AND (1) ON 2ND FLOOR REPLACE (2) 2.5TON CONDENSER UNITS TEST GAS LINES ON 2 METERS, *DIRECT REPLACEMENT IN THE SAME SIZE AND LOCATION) AS PER CODE. ",Carrollton Ridge
COM2023-62196,1-08,INSTALL (1) 100 AMPS ELECTRIC SERVICE UP TO 600V (#AMPS) AS PER CODE.,Frankford
COM2020-51792,1-08,"SCOPE OF WORK: ELECTRICAL ALTERATIONS TOINCLUDE: INSTALL 1-150AMPS SERVICE, INSTALL 30-CIRCUITS, INSTALL 12-LIGHTS AND INSTALL 5-SMOKES, ALL WORK WILL BE DONE ACCORDING TO BALTIMORE CITY CODE. ",Towanda-Grantley
COM2020-76337,1-08,INSTALL (1) 200 AMPS ELECTRIC SERVICE UP TO 600V (#AMPS) AS PER CODE.,Hunting Ridge
COM2024-51383,1-08,"INSTALL (1)  # SANITARY CONNECTION (RECONSTRUCTION0, (17)  # PLUMBING FIXTURES, (1) 60 BTU FUEL-BURNING EQUIP, (1) 199 BTU FUEL-BURNING EQUIP, (1)  # GAS TEST AS PER CODE.",Upton
