geoid,permits_total,permits_new_construction,permits_residential,permits_commercial,permit_trend,has_any_permits
24510240400,1292,3,197,116,0.6069651741293532,1
24510250101,597,0,137,1,0.6583333333333333,1
24510250102,344,0,66,1,0.6538461538461539,1
24510250103,687,1,107,50,0.5902777777777778,1
24510250203,384,3,61,16,0.6410256410256411,1
24510250204,191,0,36,1,0.6324786324786325,1
24510250205,723,1,115,50,0.5960264900662252,1
24510250206,608,2,79,32,0.6388140161725068,1
24510250207,155,1,23,10,0.34782608695652173,1
24510250301,886,3,377,21,1.6135693215339233,1
24510250303,492,0,118,8,0.776173285198556,1
24510250401,1126,0,280,36,0.6881559220389805,1
24510250402,910,0,219,11,0.7073170731707317,1
24510250500,1438,7,311,56,0.7557997557997558,1
24510250600,282,12,12,76,0.6395348837209303,1
24510260101,1147,9,215,27,0.6409155937052933,1
24510260102,1244,1,257,14,0.7645390070921986,1
24510260201,793,7,168,24,0.7583148558758315,1
24510260202,918,0,192,11,0.6570397111913358,1
24510260203,433,0,89,4,0.6848249027237354,1
24510260301,925,0,234,15,0.7720306513409961,1
24510260302,1123,0,274,9,0.7410852713178294,1
24510260303,151,2,28,27,1.2878787878787878,1
24510260401,227,1,64,3,0.7874015748031497,1
24510260402,288,0,58,10,0.6647398843930635,1
24510260403,202,2,27,21,0.32894736842105265,1
24510260404,903,8,143,75,0.7568093385214008,1
24510260501,1204,12,183,112,0.717546362339515,1
24510260604,62,1,11,2,0.55,1
24510260605,1821,36,189,282,0.5524296675191815,1
24510260700,1134,40,227,27,0.22066738428417654,1
24510260800,999,1,148,33,0.3972027972027972,1
24510260900,1488,2,244,67,0.5015136226034309,1
24510261000,1384,0,310,17,0.5498320268756999,1
24510261100,913,1,177,43,0.5500848896434635,1
24510270101,457,0,99,5,0.7992125984251969,1
24510270102,1087,2,255,20,0.7199367088607594,1
24510270200,670,5,153,19,0.6791979949874687,1
24510270301,1090,1,252,14,0.5982404692082112,1
24510270302,882,0,125,15,0.4157303370786517,1
24510270401,1235,0,251,25,0.5652724968314322,1
24510270402,893,2,190,16,0.7041984732824428,1
24510270501,1103,12,289,15,0.7180685358255452,1
24510270502,999,7,203,19,0.6903553299492385,1
24510270600,1401,2,281,38,0.6048109965635738,1
24510270701,21,0,2,1,1.3333333333333333,1
24510270702,481,0,99,16,0.842911877394636,1
24510270703,580,5,129,16,0.7365269461077845,1
24510270801,922,0,186,0,0.7330827067669173,1
24510270802,807,1,161,13,0.7025316455696202,1
24510270803,951,2,230,18,0.8011363636363636,1
24510270804,413,0,79,13,0.7280334728033473,1
24510270805,1428,0,290,38,0.6879432624113475,1
24510270901,736,0,156,2,0.8775510204081632,1
24510270902,791,0,201,0,0.8655660377358491,1
24510270903,775,11,136,53,0.5656565656565656,1
24510271001,748,2,181,7,0.6961451247165533,1
24510271002,1589,4,326,21,0.574826560951437,1
24510271101,474,0,64,31,0.6122448979591837,1
24510271102,474,3,63,16,0.4584615384615385,1
24510271200,2033,5,329,48,0.5674633770239013,1
24510271300,981,3,150,32,0.6055646481178396,1
24510271400,1167,4,248,12,0.6937590711175616,1
24510271501,1376,6,251,22,0.6342042755344418,1
24510271503,418,10,40,93,0.981042654028436,1
24510271600,1166,6,275,23,0.5382585751978892,1
24510271700,1853,3,420,49,0.6529884032114184,1
24510271801,1138,3,286,21,0.7216338880484114,1
24510271802,1369,2,401,15,0.8987517337031901,1
24510271900,1087,1,229,29,0.6931464174454829,1
24510272003,1217,2,229,4,0.5483460559796438,1
24510272004,197,4,42,3,0.8240740740740741,1
24510272005,519,2,113,3,0.616822429906542,1
24510272006,508,28,102,8,0.5209580838323353,1
24510272007,312,0,54,7,0.5445544554455446,1
24510280101,829,1,120,79,0.7452631578947368,1
24510280102,1421,7,314,36,0.6465816917728853,1
24510280200,1392,4,310,14,0.629976580796253,1
24510280301,242,0,44,6,0.6462585034013606,1
24510280302,438,1,95,2,0.7950819672131147,1
24510280401,873,3,170,34,0.7672064777327935,1
24510280402,443,0,98,11,0.6468401486988847,1
24510280403,798,0,158,3,0.7461706783369803,1
24510280404,448,26,115,0,0.6716417910447762,1
24510280500,326,6,41,42,0.7912087912087912,1
24510280600,614,7,168,76,0.8834355828220859,1
